,Review,label
70,من الاخر اى حد فيه الرمق من المعارضة يمكن ينزل انتخابات شعب او شورى بيتقبض عليه لغاية ما تخلص خارطة الطريق وبعدها ربنا يسهل,0
71,الأسواني: لهذا لا يوجد فرق بين إرهاب الكنيسة الكاثوليكية في الأندلس على يد الراهب بليدا وإرهاب أسامة بن لادن>>,0
72,"الاعلامي محمد فودة يعقد مؤتمرا جماهيريا غدا بمدينة #زفتى بحضور الفنانة #غادة_عبدالرازق لدعم المرشح #عبدالفتاح_السيسي # إلعب ياسيسي:)""",1
73,من يفهم في القانون اكثر من الفقيه الدستوري الدكتور ثروت بدوي والدكتور عاطف البنا والاستاذ جمال عيد كلهم أيدوا قرار الرئيس بعودة البرلمان,1
74,الانقلاب اعادنا الى عام 1955 بعيدا عن الحريات الضائعة التخلف يزحف على كل القطاعات وبكره تشوفوا مصر,0
75,#نبض_رابعة | #شاهد معتقلين المنيا في قاعة المحكمة يهتفون ساخرين من القاضي و من فضيحة زوجتة مع مدرب الكراتيه (,0
76,"زي النهار الطفل لما ينفلت من بين أيادي الضلمة ويشقشق أنا شفت روح الحق لما إتسللت صرخت وفي وش الخرس إنطق""عمار وفؤاد حجاج",0
77,موقف الاخوان من جوه برلمانهمشلت بلطجية،200 جنيه،شريط ترمدول،وجباتنتذكر سوا #السادة_المحترمون …,0
78,هل ممكن يكون مرسي مختفي الفترة دي عشان مش لاقي شاحن هو راخر؟ آه يادولة العكاكين,0
79,عن #الفرح #اللمة #الخروج #ضحك_السنين #الغني #التصوير #اللف_بالعربيه #الشارع #للصبح #الخبرة #عمر_المسخرة #الانبساط يوم فشيخ,1
80,#اخر #ساعة #يوم_الجمعة اللهم اني اسألك عيش السعداء وموت الشهداء والفردوس الاعلى بجناتك جنات عدن اللهم امين,1
81,سبحانك يالله وفي ساعة المطر تستجيب لدعواتنا،،، #عادل,1
82,دورى السيسى #مرار_طافح,0
83,قلمين عقب أسبوع من محمد محمود المجد لأبطال محمد محمودهتفضل مصر شايلة جميلهم دائما وأبدا,1
84,#كفاية اسفاف,0
85,#اللي_يسري_فودة_معملهمش_ريتويت دي فتنة عشان ننقسم ونعادي بعض إلعب غيرها,0
86,نتفق معك في ان الرجال يعرفون بالحق ولا يعرف الحق بالرجال,1
87,"#السيسي يلوم ""الخطاب الديني غير المرتبط بالعصر"" على ما لحق من ضرر بقطاع السياحة في #مصر #مرسي #الاخوان #السعودية #الامارا…",0
88,لا أهاجم مرسي لأني أستكثر عليه الرئاسة بل لأنه كذاب ومخلف لوعوده وفي رقبته دماء شبابلا أسميكم خرفانا فحتى الخروف يستحي أن يدافع عن كذاب,0
89,عاجبني الإيجابية الخايبة بتاعة الرفاق طيب خليك إيجابي بشوية حنكة سياسية أي منظر مش ستريبتيز مجاني كدة #مرار_طافح #ثورة_…,0
90,"الانقلابيون قرروا العمل والاقامة فى محيط المطار عشان الى يلحق يهرب يعملها فور سقوط الانقلاب, غوروا فى داهية",0
91,"أيمن يونس يؤكد:الزمالك لا يشارك فى دورة فى قطر لموقفها من مصر, حكومتك يا كابشن بتتفاوض مع قطر عشان تشحت غاز",0
92,و أعتز بمصريتى و صعيدتى,1
93,عار عار عار عار عار عار مانحن فيه عار الدماء أنهار والشهداء بالعشرات الرصاص فى الرأس والرقبة والصدر,0
94,بلطجة الإخوان والإعتداء على الإعلاميين بمحيط اكاديمية الشرطة #السادة_المحترمون,0
95,ومن يرددها هم من لا نريدهم في مصر لا في السياسة ولا في البرلمان القادم، وكفاهم الضرر الذي أحدثوه لثقافتنا ووعينا السياسي بلغتهم وأساليبهم,0
96,اتمنى ان تكون القوى الإسلامية والليبرالية واليسارية راغبة بالفعل في تشكيل قائمة وطنية موحدة لخوض الانتخابات البرلمانية القادمة #,1
97,انا مش فاهم واحد عنده اكتر من عشرين الف متابع لمجرد انه حاطط صورتي و محور في اسمي ريبورت و سبام من فضلكم,0
98,فضيحه تانيه أنا لسه ماسك ف مستشفي راس سدر وعرفت ان تم أخذ من الدوله حدود ١٥١ مليون جنيه لم يتم صرف ٦٠٪ منها,0
99,اردوجان مستمر في نهجه ويحاول أن يلوث المد الثوري المصري #يوسف_الحسيني #السادة_ال…,0
100,هنلف ونرجع لنفس النقطةلما تقول إن كل اللي قالوا لا ثورة مضادة يبقى ماتكلمنيش عن التفكير العلمي والمنطقيبس كده,0
101,#حمدين_صباحى بيقول برنامجة هيتحقق في ٩ شهور ، بس مقالش هيبقي طبيعي و لا قيصري و في مستشفي اية !!!! الرحمة يا رب,0
102,من يوقف قانون العزل ومن يجمد بلاغات الفساد ضد شفيق ومن يهدر طعون التزوير هل سيجرى انتخابات اعادة نزيهة اما تطبيق القانون او مقاطعة شاملة,0
103,لما إنت عارف مجموعة الشيوعيين بالإسم ابقى قدم فيهم بلاغ ولاتنشر الكلام على عواهنهكلامك واضح يارجل الحوار,0
104,ابراهيم صلاح ضحى ب 3 مليون من الهلال السعودى او اتحاد جدة ، وإختار الزمالك #زملكاوى,1
105,8ب وبعد عزل إجباري للرئيس المدني المنتخب كنت أتمنى أن لا يحدث باحترام الإخوان للجوهر الحقيقي للديمقراطية متمثلا في طلب الشعب التغيير,0
106,الشيخ حازم ابو اسماعيل يرد على فتوى برهامي الأخيرة !! فك الله اسرك يا بطل منك نتعلم منهج الدين الحق …,1
107,#حط_نفسك_مكان_البنت اللي بقيت بتسمع شتايم قذرة من ناس اقذر في الشارع عادي علي اساس ان الولاد كدة بتهزر,0
108,في أمريكا دلوقتي المحطات النووية شغالة وبرامج الفضاء شغالة والأبحاث العلمية والاستديوهات والمصانع والأحزاب وحركات الرفضإنت بقى شغال في إيه؟,0
109,اطالب بعزل شفيق ومحاكمته ثم عمل انتخابات نظيفة او التحقيق في التزوير واستبعاد الأصوات الباطلة والإعادة بين الثاني والثالث او مقاطعة المهزلة,0
110,ﻟﻴﻪ ﺍﻟﺒﻨﺖ ﺍﻟﻠﻰ #ﺗﺤﺐ ﻓﻰ ﻣﺠﺘﻤﻌﻨﺂ ﺑﻴﻌﺎﻣﻠﻮﻫﺎ ﺍﻧﻬﺎ ﻋﻤﻠﺖ #ﺟﺮﻳﻤﻪ ﻭﺑﺘﺒﻘﺎ ﺑﻨﺖ ﻣﺶ #ﻣﺤﺘﺮﻣﻪ ; :: #حوكا,0
111,من بوابة الأهرام الأسلوب الحقير للصهاينه استخدم من قبل مع اخرين,0
112,وهذا ماقلته اليوم مع محمود سعد لمن أراد أن يدرك حقيقة أكذوبة الإستقرار الذي يروجون لهتصبحوا على خير,0
113,البرود #اسلوب_حياة,0
114,الإخوان جماعة إرهابية وهم من قتلوا ابني,0
115,سنسمو على خلافاتنا السياسية والحزبية وسنعلى فقط المصلحة الوطنية ستنتصر ثورتنا وستكون مصر قوية بإذن الله,1
116,حين يصبح مصطفى بكري شبه متحدث باسم المجلس العسكري ، اعلم أن هناك الكثير يجب عمله، حتى تنجح ثورتنا,0
117,ان اللون الرمادي ليس له محل من الاعراب يا ابيض يا اسود #علمتني_الثورة,0
118,أثار تخريب كنيسة مارجرجس وحرق بيوت الأقباط بقرية دلجا بعد اعتداء الإخوان #السادة_المحترمون …,0
119,لا شيء يبرر إحالة المدنيين للقضاء العسكري حتى البلطجية القضاء المدني كفيل بهم,0
120,أهدم نفسك عشان تبني مستقبلك !! #التعليم_في_مصر,0
121,#مصر_القوية |10-لقد حذرنا في حزب مصر القوية ولا زلنا نحذر من خطورة تحول سلطات الدولة إلى مجرد سند لسلطة عسكرية لا تفهم الس…,0
122,#دوله_التعريص #عسكر حراميه,0
123,لا يستطيع الرئيس مرسي ان يتنصل من مسئوليته عن الغاء عرض مسرحي على مسرح الدولة هل قرار الأمن أقوى من الرئيساين وعود الرئيس عن حرية الإبداع,0
124,أما بالنسبة للشامخ فده يدلَّع ونقوله يا أبو شامخة,0
125,العملية نسر لم تفشل النسر هرب مع طائر النهضة عشان يتجوزوا عرفي و راجعين,0
126,الأسواني:لماذا تصر الولايات المتحدة على استمرارها في دعم مرسي للنهاية رغم قتله للمصريين وقمعه للتظاهرات,0
127,#أنصار_المعزول تعدى بالضرب والتعذيب على الصحفى بجريدة #فيتو محمد ممتاز,0
128,التنظيم الدولي للإخوان تعلم على يد رامسفيلد يقوم بحربين في وفت واحد او #كلام_و_كلام #يوسف_الحسيني #…,0
129,قالك :- الإخوان بيزايدوا علي بتوع #الإتحادية طب و جملة مش هننزل نتظاهر مع الإخوان دي إيه ؟ رز بلبن ؟,0
130,#حاول_ماتبقاش الوالد اللى بيصاحب مية بنت في الاخر هتجوز واحده #استرجل بقي,0
131,#الاهلي #اسلوب_حياة,1
132,2011 الله ينور عليك يا دكتور هو ده التفكير اللى عايزينه مش كم مسجد وكم كنيسه,1
133,للمرة الاولى فى 40 عاما يأتى يوم 6 أكتوبر والجيش ليس حبيب الشعب الاغلبية بين كاره وغاضب وخائف ومندهش أو لديه ثأر,0
134,د أبو الفتوح : رقابة الدولة على الأفكار يحول الناس الى مؤمنين منافقين وهذا ما لانريده ولا نقبله,0
135,ليس بمقدور احد ان يعيد المصريين الى حظيرة الخوف لقد الثورة كسرت حاجز الخوف الى الأبد لن نتراجع عن مطالب الثورة ولو صدر ضدنا الف حكم,1
136,"نهنئ الدكتور عبد المنعم أبو الفتوح بتأسيس حزب ""مصر القوية""، وندعو له بالتوفيق وبأن يكون هذا الحزب خطوة نحو بناء",1
137,الطاقة البشرية اذا ما احسن استغلالها هى رصيدا و ليست عبئا قوتنا فى عددنا,1
138,بسمة أمل - قصة سقراط مع النميمة: في هذه الأيام وللأسف كثرت الشائعات والنميمة وأصبح الكثير -إلا من رحم ربي من,0
139,) ! #اولاد_ميت_عقبه #الزمالك #حب_الابيض_غير …,1
140,استمعت للعمال: لا حق في انشاء نقابات مستقلة، 8 مليون بعقود مؤقتة، استبعاد 30 ألف مرشح من الاتخابات النقابية، عدم وجود حد إنساني لللأجور,0
141,هو إحنا حا نعمل جلسات مجلس شعب ليه؟ ما الإخوان أهم بيخلصوا كل حاجة من مكاتبهم ولا حوجة للزحمة والمصاريف,0
142,_ طبعا الرئيس الذي تطلق جماعته بلطجية ليعتدوا ويسحلوا ويضربوا بنات بلده هو رئيس فاقد للشرعية تماماً,0
143,909 ألف شكر,1
144,الآن محاضره عن الصحابي الجليل وخليفة رسول الله #عثمان_بن_عفان #ذو_النورين #إذاعه_القرآن,1
145,_2012 غلط شوف الاعلام بتاعهم بيمسكوا في اي حاجة حتى لو تافهة,0
146,وحياة قلبي وأفراحه️ #الشباب_الاهلي ٣-٠,1
147,موقف محترم حذر الأمير خالد بن طلال بن عبد العزيز عضو العائلة المالكة بالسعودية أن إجازة الخروج على الرئيس مرسي,1
148,اصحاب المحلات فى شرم احتفلوا بالانقلاب واذاعوا تسلم الايادى اليوم تظاهروا ضد الانقلاب بكره تشوفو مصر,0
149,حالا لأول مره في حياتي متشرف أني أكون في مدينه #المحله الكبري لأحياء احد الأفراح بعد قليل #,1
150,_ لم يحدث هذا كذب و افتراء,0
151,#حاجة_تستاهل_الحمد كل حاجه ف حياتنا اكيد !!!,1
152,#ذات_مومنت لما موبايلك يغطس في البطنيه وتقعد ادور فيه ما تلقشي واخر حاجه تنفض البطنيه يقعد الموبايل ايتخبط فيالوطى :/ اصلا عادي,0
153,شخص يهدد بإستمرار الإرهاب وعمليات القتل في سيناء حتي عودة مرسي أعتقد أنه مدان بالقانون والسجن في إنتظاره,0
154,اهالى #عزبة_النخل يفضحون #السيسى: حملته قالت لنا اعملوا توكيلات للسيسى وهن:,0
155,_ 25 # تدعون للدين وتنشرون الأكاذيب، لم أكن أبدا عضوا بالوطني انتم تتاجرون بالدين,0
156,ولما تبص #حواليك هتعرف انك #احسن من ناس #كتير عشان كده #لازم تقول #الحمد_لله,1
157,مرسي موحد الفتن,0
158,"أخر ما كتبه شهيد اليوم بإذن الله ""عبد الرحمن احمد "" هذه هى نوعية الشباب الذين يقتلهم السيسي حسبنا الله و نعم الوكيل …",0
159,نيويورك تايمز: الانقلاب دراكولا يبطش بالصحافة,0
160,استمرار تطور وتجديد كوادر التنظيم المسلح لجماعة الإخوان الإرهابية #السادة_المحترمون …,0
161,#الببلاوي #أنتخبوا_العرص #الهاشتاج,0
162,وماحدش هيضيع البلد غير الجبان والواطي والحقير عديم الذمة اللي عمره ما بيقبل على نفسه ما يقبله على غيره من كتر ما هو خائف وجبان,0
163,مفيش حاجة اسمها دولة وطنية في حاجة اسمها الجماعة التنظيم طز في مصر #السادة_المحترمون …,0
164,7 ماله سمك إسكندرية يافندم؟ طب والله من غير مبالغة لفيت العالم مالقيت مثيله وأتوسل إليكي ماتحطميش أسطورتي الخاصة,1
165,الاعتقالات كالامطار بلا مبررات لكن الانقلاب يرفض حضور المحامين لتحقيقات النيابة,0
166,عبد المنعم ابو الفتوح اعداء المصريون فى الخارج والداخل يدبرون مؤامرات لاجهاض ثورة يناير # #,0
167,قدام بيتي 😍 #الربيع #الجمال #نيويورك #بيتي # #مبتعث,1
168,#بصـراحـه #عن ناس بيبقى نفسك تقولهم يلا المركب اللى تودى و يا ريت تتقلب و هى بتودى ! #رخامة,0
169,الجزار الفاشل يحضر الآن سكينه لكي يذبح بعض كباش الفداء قبل أن يكتشف أن المشكلة أعمق من فشل الأشخاص فهي مشكلة فشل سياسات,0
170,#النصر_الفيصلي عظيم بجمهورك الله يسعد الحاضرين كلهم والغايبين,1
171,نت #فودافون بيعلم الصبر,0
172,عصام سلطان فضل عشر سنوات عامل نفسه منشق وضد الاخوان وبعدييين بعد الثوره اتضح انهم منهم ولا انشق ولا يحزنون,0
173,كنت تأجل وتيجي منك بجميلة وتعمل فيها قعر مجلس وكبير العائلة بس هتقول إيه الغباء السياسي صنعة,0
174,88 إنت باين عليك لجنة أمن دولة مفضوحين جدا,0
175,مدير جامعة الإمام يستنكر الثناء على #أردوغان ويعتبر #تركيا دولة فاسدة فاسقة فاجرة تنشر الرذيلة #عسير #السعودية # #,0
176,الجبناء يكذبون علنا احدهم يقول ان العسكر لم يحكموا مصر اخر 60 عاما ويطالب بخضوع مصر للجيش واستشارته فى اى حاجة تخصه,0
177,الانقلاب يغلق مسجد النصر ب #رفح ومن اظلم ممن منع مساجد الله ان يذكر فيها اسمه وسعي فى خرابها انتظروا عقاب الله,0
178,مبادره دستورهم باطل لتعريف الشارع بالمساوئ الاقتصاديه و الاجتماعيه للدستور ببساطة،ريتويت بقا 3 مرات قبل الأ,0
179,عندما يسكت الإخوان على بذاءات الشيوخ المؤيدين لهم وتطاولهم على الأعراض فوق المنابر فلا تفرحوا كثيرا لأنكم ستكتوون بنار البذاءة والسفالة,0
180,كذبة حقيرة الاهرام العربي:مرسي طبع 65 مليار جنيه والبنك المركزى يأسف ويستنكر ويرفض التعقيب,0
181,فالانتقاص من صلاحيات البرلمان المنتخب واعطاء صلاحيات تشريعية لمجلس استشاري معين هما أمران ينبغي على كل مؤمن بالديمقراطية أن يرفضهما,0
182,قانون منع التظاهروالاعتصام المزمع إصداره يحسم اﻷمرأمام كل متردد بأننا نواجه سلطة قمعية ليس لها مشروعية تستهين بحريات وكرامة وحقوق المصريين,0
183,عدت من الاسماعلية منذ قليل بعد يوم حافل ختمته بمؤتمر جماهيري دفء مشاعر أهل الاسماعلية هون برودة الجو #,1
184,"أحسن حاجة في أغنية #السكة_شمال هيا ""ايه ايه ايه ايه "" اللي أمير بيقولها قبل ما بيغني علي طول !",1
185,أيامنا هذه هى أيام اختلال مفزع لمعايير الحكم على الأمور فى المجال العام فى مصر وفى بلاد العرب,0
186,شاهد - آخر كلام: مسحت الكلام؟ طب مسحت الدم؟ جبت حق اللي مات؟ #,0
187,عايزه اعمل مجتمع ربعاوى بعيد عن الفلول و اللى عايزهم #فلول # شعب بلا اخلاق #ستحاسبووون,0
188,"اثنان وثلاثين سببا للتصويت بـ ""لا"" على مشروع الدستور",0
189,#الحكومة لا تلتـزم بـ القـانون للأسف #حقيقة,0
190,( فألقيه في اليم ولا تخافي ولا تحزني إنا رادوه إليك وجاعلوه من المرسلين ) هذه الآية تبعث الأمل ،، #ل…,1
191,#6ابريل صباح الغباء # خلطة نقاء وغباء ثوري النتيجه حزب وطني #نيولوك #الحرية_للمعتقلين #ماهر #دومه #عادل # #…,0
192,يآجعل دربكَ تسآهيل والفُوز فآلك #النصر_الشباب #نصراوي_لاتكلمني,1
193,😘 انتِ قصة عشق لا يفهمها الا النجوانيون #هلا_فبراير #,1
194,يتقدم الشعب المصري بخالص الشكر والامتنان للمشير السيسي لمجهوده الجبار في حل النزاع الوطني بين مرتضي منصور واحمد شوبير #هاشتاج,1
195,#حركة_كايدينهم #مصر #قول_كلمه_للسيسي_وخد_فولو_هديه ياسيسى ياجاااااااامد #سأنتخب_السيسي #تحيا_مصر,1
196,639 #الراتب_مايكفي_الحاجة #الاتحاد #الهلال #النصر #الاهلي #مرسي,0
197,كلما اقترب موعد بدء الحملات الانتخابية، كلما تغيرت لغة الحوار والخطاب بين الأحزاب والسياسيين وأصبحت أكثر عنفا لفظيا,0
198,عن اي مشروب غازي كوﻻ #حافظ_مش_فاهم,0
199,"الباشا أبو 50% مش واخد باله أنه رمى كل أوراقه , بيهددنا انه هيضرب بكرة ذخيرة حية , على أساس ان قبل كده كانوا بيضربونا بق…",0
200,مرسي سمع تهديد البلاك بلوك باقتحام القصر من هنا وقام معلي سور القصر بالطوب الأحمر فين فتحة الصدر يا سجين القصر,0
201,والمصحف مرتضي منصور بيتلكك لميدو #زمالك,0
202,السنين الحلوه بتعدى قوام و آنتآ آسمك فى آلتآريخ بالنور مكتوب #أبو_تريكة,1
203,مازلنا نعيش عهد اللافعل,0
204,تجاهل الاعلام الحقير لضحايا معدية قنا الذين غرقوا فى النيل يكشف انهيار الحق لو أيام مرسي كانت الولولة والدموع للركب مش كده يا منى,0
205,الدراما المصرية في تقدم مبهر مسلسل #نيران_صديقة راااائع جداً جداً,1
206,ع سبيل النكد #باسم مش جاى النهاردة :(,0
207,كانوا رجال #مرسى_رئيسى #كانوا_رجال #الشعب_يرد_تحية_الرئيس #أنا_حازم #سنحيا_كراما,1
208,أعتقال الناشط اليساري هيثم محمدين يكشف بوضوح أن العسكر يستهدف المد الثوري أي كان لونه أو شكله أو إنتماءه وأن …,0
209,ماعنديش فلتر بين مخى ولسانى دى مصيبة الل بفكر فيه بقوله #عادة #زفت #اعتراف,0
210,كفاية سياسة بقي,0
